filename,title,description,tags,url
nessun-titolo-trovato,(Nessun titolo trovato),(Nessuna descrizione trovata),"Codepen, CSS, Animazione",https://codepen.io/meodai/full/XWXyoYK?s=35
hunyuanvideo-a-systematic-framework-for-large-video-generative-models,HunyuanVideo: A Systematic Framework For Large Video Generative Models,"Modello open-source di fondazione per la generazione di video, sviluppato da Tencent. Utilizza un framework sistematico per l'addestramento e l'inferenza di modelli video di grandi dimensioni con 13 miliardi di parametri, eccellendo in qualità visiva, dinamiche di movimento e allineamento testo-video.","AI, Generazione Video, HunyuanVideo, Tencent, Modello Fondazione, Deep Learning",https://github.com/Tencent/HunyuanVideo?s=35
stato-su-x-twitter-di-holly-herndon,(Contenuto non recuperabile),Stato su X (Twitter) di Holly Herndon.,"X, Twitter, Holly Herndon, Social Media",https://x.com/hollyherndon/status/1865087479444812264?t=VyyYY04151xJuzPJK56saw&s=35
top-1000-imdb-dataset-kaggle,Top 1000 IMDB dataset - Kaggle,"Dataset contenente i dati dei primi 1000 film di IMDb, utilizzato per l'analisi dei dati e il data cleaning. Include nomi di film, anno di uscita, durata, valutazioni IMDb, Metascore e descrizioni.","Dataset, Kaggle, IMDb, Film, Analisi Dati, Data Science",https://www.kaggle.com/datasets/fernandogarciah24/top-1000-imdb-dataset
amineyarmanvue-kinesis-easily-create-complex-interactive-animations-with-vuejs-g,amineyarman/vue-kinesis: Easily create complex interactive animations with Vue.js - GitHub,"Set di componenti per Vue.js che aiuta a creare facilmente animazioni interattive dinamiche e complesse, come effetti parallasse, trasformazioni e reazioni all'audio.","Vue.js, Kinesis.js, Animazioni, Interattività, Sviluppo Web, JavaScript",https://github.com/amineyarman/Kinesis.js
markwhen,Markwhen,"Un linguaggio di journaling simile a Markdown per scrivere in modo semplice registri, diagrammi di Gantt, blog, note, diari, timeline e calendari, con funzionalità di condivisione e integrazione con calendari esterni.","Markdown, Journaling, Markwhen, Timeline, Diagramma Gantt, Note",https://markwhen.com
bjesuspipet-github,bjesus/pipet – GitHub,"Strumento ""coltellino svizzero"" per lo scraping e l'estrazione di dati da risorse online, orientato agli hacker.","Scraping, Estrazione Dati, Strumento, Python, Sicurezza",https://github.com/bjesus/pipet?s=35
augustdevenchanted-enchanted-is-ios-and-macos-app-for-chatting-with-private-self,"AugustDev/enchanted: Enchanted is iOS and macOS app for chatting with private self hosted language models such as Llama2, Mistral or Vicuna using Ollama. - GitHub","Applicazione per iOS e macOS per chattare con modelli linguistici privati auto-ospitati (self-hosted) come Llama2, Mistral o Vicuna, utilizzando la piattaforma Ollama.","AI, Modelli Linguistici, LLM, Ollama, iOS, macOS, Chat",https://github.com/AugustDev/enchanted?s=35
voicecraft,VoiceCraft,"VoiceCraft è un progetto menzionato nel contesto della sintesi vocale (TTS) e dell'editing vocale, probabilmente una tecnica per la creazione e la modifica di voci ad alta fedeltà.","AI, Sintesi Vocale, TTS, Voice Editing, VoiceCraft, Deep Learning",https://github.com/jasonppy/VoiceCraft?s=35
aykutsaracjsoncrackcom-innovative-and-open-source-visualization-application-that,"AykutSarac/jsoncrack.com: Innovative and open-source visualization application that transforms various data formats, such as JSON, YAML, XML, CSV and more, into interactive graphs. - GitHub","Applicazione open-source di visualizzazione che converte vari formati di dati (JSON, YAML, XML, CSV) in grafici interattivi, rendendone più facile l'esplorazione, la formattazione e la validazione per gli sviluppatori.","JSON, Visualizzazione Dati, Grafico Interattivo, YAML, XML, Strumenti Sviluppatori, Open Source",https://github.com/AykutSarac/jsoncrack.com?s=35
understanding-css-clamp-for-typography-a-guide-for-ui-designers,Understanding CSS clamp() for Typography: A Guide for UI Designers,Articolo di UX Design che illustra come utilizzare la funzione CSS clamp() per creare una tipografia fluida e completamente responsive. Questa tecnica assicura che la dimensione del testo si adatti perfettamente tra un valore minimo e uno massimo.,"CSS, Tipografia, Responsive Design, UI/UX, Web Design",https://uxdesign.cc/understanding-css-clamp-for-typography-a-guide-for-ui-designers-6f522c2ed90f?s=35
google-colaboratory,Google Colaboratory,"Ambiente notebook Jupyter basato su cloud che permette di scrivere ed eseguire codice Python nel browser, specialmente utile per l'apprendimento automatico e l'analisi dei dati. Non richiede configurazione ed è gratuito.","Google, Python, Machine Learning, Colab, Notebook Jupyter",https://colab.google/
upscayl,Upscayl,Un'applicazione open-source e multipiattaforma per l'upscaling delle immagini (aumento di risoluzione) utilizzando modelli avanzati di intelligenza artificiale. Consente di migliorare la qualità delle foto con una semplice interfaccia utente.,"Upscaling, AI, Immagini, Open Source, Software",https://upscayl.org
danielgatisrembg-github,danielgatis/rembg - GitHub,Strumento Python di command-line e libreria per rimuovere rapidamente e facilmente lo sfondo dalle immagini utilizzando l'AI. È integrabile in flussi di lavoro automatizzati.,"Python, Rimozione Sfondo, AI, Immagini, GitHub",https://github.com/danielgatis/rembg
lllyasvielfooocus-github,lllyasviel/Fooocus - GitHub,"Interfaccia utente open-source che semplifica il processo di generazione di immagini con Stable Diffusion, con l'obiettivo di migliorare la coerenza e l'usabilità. Rende l'AI art più accessibile e produttiva.","AI Art, Stable Diffusion, Generazione Immagini, Fooocus, Open Source",https://github.com/lllyasviel/Fooocus
ultimate-vocal-remover,Ultimate Vocal Remover,Software basato sull'AI per separare le tracce vocali e strumentali da qualsiasi brano audio. È molto apprezzato per la sua alta precisione nella de-mixing audio.,"Audio, Vocal Remover, AI, Musica, Software",https://ultimatevocalremover.com
ollama,Ollama,"Strumento che consente di eseguire in locale Large Language Models (LLM) di grandi dimensioni, come Llama 2 e Mistral, sul proprio computer. Offre un modo semplice per l'hosting e l'interazione con modelli AI open-source.","LLM, AI, Ollama, Self-Hosted, Open Source",https://ollama.com
qwenlmqwen25-github,QwenLM/Qwen2.5 - GitHub,"Repository per Qwen 2.5, una serie di modelli linguistici open-source ad alte prestazioni sviluppati da Alibaba Cloud. Adatto per una vasta gamma di attività di intelligenza artificiale.","LLM, Alibaba, Qwen, AI, Modello Linguistico",https://github.com/QwenLM/Qwen2.5
the-shape-of-ai,The Shape of AI,Piattaforma che offre una mappa concettuale e una classificazione visiva dell'intero ecosistema dell'Intelligenza Artificiale. Aiuta a comprendere le relazioni e le diverse aree del settore AI.,"AI, Ecosistema AI, Mappa Concettuale, Visualizzazione Dati",https://www.shapeof.ai
lai-sta-facendo-impazzire-i-programmatori-open-source,L'AI sta facendo impazzire i programmatori open source,Articolo di Wired Italia che esplora la crescente frustrazione tra i programmatori open source causata da codice di bassa qualità o bug introdotti dall'uso dell'AI nella generazione di codice.,"AI, Open Source, Programmazione, Bug, Wired Italia",
fonts-in-movies,Fonts In Movies,Raccolta esaustiva e archivio di caratteri tipografici e font utilizzati nei titoli di testa e nei materiali promozionali dei film. Ottima risorsa per designer e appassionati di cinema e tipografia.,"Tipografia, Cinema, Font, Design, Archivio",https://fontsinmovies.com/
the-octalysis-framework-for-gamification-behavioral-design,The Octalysis Framework for Gamification & Behavioral Design,"Framework completo per la gamification e il design comportamentale, creato da Yu-kai Chou. Il modello si basa su 8 core drive per motivare e coinvolgere gli utenti.","Gamification, Design Comportamentale, Octalysis, UX Design",https://yukaichou.com/gamification-examples/octalysis-complete-gamification-framework/
googles-project-aristotle-psych-safety,Google's Project Aristotle - Psych Safety,"Articolo che riassume i risultati del Progetto Aristotele di Google, identificando la ""Sicurezza Psicologica"" come il fattore cruciale per il successo e l'efficacia dei team di lavoro. La sicurezza psicologica permette ai membri di un team di sentirsi al sicuro nel prendere rischi interpersonali.","Sicurezza Psicologica, Project Aristotle, Google, Team Building, Lavoro",https://psychsafety.co.uk/googles-project-aristotle/
microsoftmarkitdown-github,microsoft/markitdown - GitHub,"Estensione Markdown sviluppata da Microsoft che permette di migliorare la documentazione con funzionalità avanzate, come l'aggiunta di elementi interattivi. È un tool per una documentazione più ricca e coinvolgente.","Markdown, Documentazione, Microsoft, Sviluppo, GitHub",https://github.com/microsoft/markitdown?s=35
loops-and-logic,Loops and Logic,"Un blog o sito web focalizzato sull'ingegneria del software e argomenti tecnici avanzati, con un focus sul pensiero logico e sulla costruzione di sistemi.","Ingegneria Software, Logica, Sviluppo, Tecnologia",https://loopsandlogic.com/
intelligenza-artificiale-harvard-lancer-un-enorme-dataset-gratuito-per-laddestra,"Intelligenza artificiale, Harvard lancerà un enorme dataset gratuito per l'addestramento",Notizia di Wired Italia che annuncia l'iniziativa di Harvard di rilasciare un vasto dataset gratuito per l'addestramento e la ricerca di modelli di intelligenza artificiale.,"AI, Dataset, Harvard, Ricerca, Wired Italia",
renyuan-commit,Renyuan Commit,Uno strumento online per aiutare gli sviluppatori a comporre messaggi di commit di Git conformi agli standard e altamente informativi. Migliora la qualità della cronologia del progetto.,"Git, Commit, Sviluppo, Programmazione, Strumenti",https://renyuan.io/commit/?s=35
stato-su-x-twitter-di-mrprudence-contenuto-tecnico-o-di-design,(Contenuto non recuperabile),Stato su X (Twitter) di MrPrudence. Contenuto tecnico o di design.,"X, Twitter, Social Media, Tecnologia, Sviluppo",https://x.com/MrPrudence/status/1869314047730131445?t=Yk20VyZEusRdawRHPlwJKw&s=35
elden-ring-stato-completamente-ricreato-usando-excel-multiplayerit,Elden Ring è stato completamente ricreato usando Excel - Multiplayer.it,"Articolo che parla di un progetto non convenzionale in cui il famoso videogioco ""Elden Ring"" è stato replicato e reso giocabile interamente all'interno di Microsoft Excel. Questo progetto dimostra la versatilità di Excel.","Elden Ring, Excel, Videogiochi, Progetto Creativo, Multiplayer.it",https://multiplayer.it/notizie/elden-ring-e-stato-completamente-ricreato-usando-excel.html
mechanism-master-list-board-game-design-lab,Mechanism Master List - Board Game Design Lab,Un vasto elenco di meccanismi di gioco utilizzati nella progettazione di giochi da tavolo e di ruolo. È una risorsa fondamentale per i game designer per esplorare nuove interazioni di gioco.,"Game Design, Giochi da Tavolo, Meccanismi di Gioco, Risorse",https://boardgamedesignlab.com/mechanism-master-list/
anydice,AnyDice,Un potente calcolatore di probabilità online per dadi e sistemi di gioco di ruolo. Permette di analizzare e visualizzare la distribuzione dei risultati per configurazioni di dadi complesse.,"Dadi, Probabilità, Giochi di Ruolo, Strumenti, Statistica",https://anydice.com/
game-iconsnet,Game-icons.net,Una vasta libreria di icone vettoriali gratuite e open-source specificamente progettate per l'uso nello sviluppo e nella progettazione di videogiochi e giochi da tavolo. Le icone sono personalizzabili.,"Icone, Game Design, Open Source, Risorse, Vettoriale",https://game-icons.net/
smithsonian-open-access,Smithsonian Open Access,"La piattaforma dello Smithsonian Institution che offre milioni di immagini ad alta risoluzione e dati di collezioni in pubblico dominio (CC0). Una risorsa enorme per artisti, ricercatori e il pubblico.","Open Access, Smithsonian, Arte, Dati Pubblici, Musei",https://www.si.edu/OpenAccess
picryl-public-domain-media,Picryl - Public Domain Media,"Un motore di ricerca e una libreria di media (immagini, video, documenti) di pubblico dominio provenienti da archivi e biblioteche di tutto il mondo. Utile per progetti creativi e di ricerca.","Pubblico Dominio, Media, Immagini, Ricerca, Archivi",https://picryl.com/
if-no-yes-com-by-rafal-rozendaal,if no yes .com by Rafaël Rozendaal,"Un'opera d'arte digitale creata dall'artista Rafaël Rozendaal nel 2013, che fa parte della Collection of Benjamin Palmer. L'opera è un sito web che esplora i concetti di astrazione e presenza digitale.","Arte Digitale, Rafaël Rozendaal, New Media, Astrazione, Web Art",https://ifnoyes.com/
rafal-rozendaal,Rafaël Rozendaal,"Sito ufficiale dell'artista olandese-brasiliano Rafaël Rozendaal, noto per aver creato opere d'arte digitali che sono anche nomi di dominio web. La sua arte esplora la materialità del web.","Artista, Rafaël Rozendaal, Arte Digitale, Web Art, New Media",https://www.newrafael.com/
abstract-browsing,Abstract Browsing,"L'opera d'arte di Rafaël Rozendaal del 2014, che trasforma visivamente qualsiasi pagina web in un dipinto astratto, mantenendo solo la struttura e i colori del codice sottostante. L'opera è nella collezione dello Stedelijk Museum.","Arte Digitale, Abstract Browsing, Rafaël Rozendaal, Web Art, Stedelijk Museum",https://www.abstractbrowsing.net/
stato-su-x-twitter-di-hamptonism-contenuto-tecnico-o-di-design,(Contenuto non recuperabile),Stato su X (Twitter) di @hamptonism. Contenuto tecnico o di design.,"X, Twitter, Social Media, Tecnologia, Sviluppo",https://x.com/hamptonism/status/1873494956524085675?t=agjjPDoDHaRuRDjMJrQmLg&s=35
type-scale-generator-by-landings,Type Scale Generator by Landings,Un generatore di scale tipografiche online che aiuta i designer a creare gerarchie di font armoniose e matematicamente bilanciate per interfacce web. Permette di definire rapporti di scala e tipi di font.,"Tipografia, Design, Sviluppo Web, Strumenti, UI/UX",https://landin.gs/tools/type-scale-generator/
ai-made-in-italy-arriva-minerva-la-prima-famiglia-di-grandi-modelli-linguistici-,"AI made in Italy: arriva Minerva, la prima famiglia di grandi modelli linguistici addestrati “da zero” per la lingua italiana","Minerva è la prima famiglia di Large Language Models (LLM) addestrata specificamente da zero per la lingua italiana, colmando il divario di LLM open-source di alta qualità per le lingue non inglesi. È un importante passo avanti per la ricerca sull'AI in Italia.","Minerva, LLM, AI, Italiano, Sapienza Università, Open Source",
stato-su-x-twitter-di-deedydas-il-contenuto-si-riferisce-probabilmente-a-un-aggi,(Contenuto non recuperabile),"Stato su X (Twitter) di @deedydas. Il contenuto si riferisce probabilmente a un aggiornamento tecnologico, un frammento di codice o un concetto di design innovativo.","X, Twitter, Tecnologia, Sviluppo Web, UI/UX",https://x.com/deedydas/status/1878472012819284195?t=G30_Kwr9054GnGKwCZVjqA&s=35
stato-su-x-twitter-di-rohanpaulai-il-contenuto-relativo-allai-in-particolare-a-l,(Contenuto non recuperabile),"Stato su X (Twitter) di @rohanpaul_ai. Il contenuto è relativo all'AI, in particolare a Large Language Models (LLM) o Machine Learning.","X, Twitter, AI, LLM, Machine Learning",https://x.com/rohanpaul_ai/status/1880184389218496770?t=MdaIok5eFfn08juiTuNv4A&s=35
nokia-design-archive,Nokia Design Archive,"Un archivio digitale reso pubblico dalla Aalto University, contenente schizzi, foto e interviste sul processo di design dei telefoni cellulari Nokia dal mid-anni '90 al 2017. L'archivio mira a mostrare come le idee di design abbiano plasmato la nostra connessione.","Nokia, Design, Archivio, Aalto University, Telefoni Cellulari, Storia del Design",
plujawhishper-transcribe-any-audio-to-text-translate-and-edit-subtitles-100-loca,"pluja/whishper: Transcribe any audio to text, translate and edit subtitles 100% locally with a web UI. Powered by whisper models! - GitHub","Whishper è un'applicazione web open-source e self-hosted per trascrivere audio e video in testo, tradurre e modificare i sottotitoli utilizzando i modelli Whisper di OpenAI. L'elaborazione avviene al 100% in locale per garantire la privacy.","Trascrizione, Whisper, AI, Audio, Self-Hosted, Open Source",https://whishper.net/
scriberr-transcribe-audio-summarize-annotate,Scriberr — Transcribe audio. Summarize. Annotate.,"Un'applicazione di trascrizione audio self-hosted e offline basata su AI che permette di trascrivere, riassumere e chattare sui file audio, anche da link YouTube. È progettata per la privacy e offre funzionalità come la diarizzazione degli oratori.","Trascrizione, AI, Self-Hosted, Audio, Riassunto, Privacy",https://scriberr.app/
anvakagraph-drawing-libraries-trying-to-compare-known-graph-drawing-libraries-gi,anvaka/graph-drawing-libraries: Trying to compare known graph drawing libraries. - GitHub,"Una risorsa su GitHub che raccoglie e confronta una vasta collezione di librerie JavaScript per il disegno e la visualizzazione di grafi e reti, come ngraph e VivaGraphJS. È un punto di riferimento per gli sviluppatori che lavorano con le strutture dati a grafo.","Visualizzazione Grafi, JavaScript, Librerie, Sviluppo Web, Data Visualization",https://github.com/anvaka/graph-drawing-libraries
zeroth-bot-dev-kit-the-worlds-most-accessible-humanoid-for-ai-launching-soon-on-,Zeroth Bot Dev Kit - The World's Most Accessible Humanoid for AI - Launching Soon on Kickstarter!,"Pagina di pre-lancio per un kit di sviluppo per robot umanoidi, il Zeroth Bot, che si presenta come il più accessibile al mondo per l'AI. Il progetto è stato lanciato su Kickstarter e mira a fornire una piattaforma per l'AI embodied.","Robotica, AI, Umanoide, Kickstarter, Sviluppo",https://pre-launch.grandjourney.ai/
dnhkngglados-this-is-the-personality-core-for-glados-the-first-steps-towards-a-r,"dnhkng/GLaDOS: This is the Personality Core for GLaDOS, the first steps towards a real-life implementation of the AI from the Portal series by Valve. - GitHub","Un progetto GitHub che mira a creare una implementazione reale del ""Personality Core"" di GLaDOS, l'intelligenza artificiale della serie di videogiochi Portal. È un assistente vocale AI sperimentale con una personalità distintiva.","AI, GLaDOS, Portal, Assistente Vocale, Progetto Open Source",https://github.com/dnhkng/GLaDOS
markdown-to-image-github,markdown-to-image - GitHub,"Un progetto che probabilmente riguarda uno strumento o una libreria per convertire il contenuto Markdown in un file immagine, come PNG o JPEG. Utile per la condivisione di snippet di codice o documenti formattati sui social media.","Markdown, Immagini, Conversione, Sviluppo, Strumenti",https://github.com/gcui-art/markdown-to-image?s=35
learnhouse-the-modern-open-source-learning-platform-for-everyone,LearnHouse - The modern Open source learning platform for everyone.,"Piattaforma di apprendimento open-source moderna e ben progettata per creare e condividere corsi accademici, professionali e per la crescita personale. Include un editor a blocchi, quiz, assegnazioni e un copilot AI per docenti e studenti.","Piattaforma E-learning, Open Source, Formazione, AI, EdTech, LearnHouse",https://www.learnhouse.app/
knadhtg-archive-a-tool-for-exporting-telegram-group-chats-into-static-websites-l,knadh/tg-archive: A tool for exporting Telegram group chats into static websites like mailing list archives. - GitHub,"Uno strumento Python per esportare le chat di gruppo di Telegram in siti web statici, preservando la cronologia della chat come archivi di mailing list. Supporta il download di media e la generazione di siti statici.","Telegram, Archiviazione, Python, Open Source, Sviluppo",https://github.com/knadh/tg-archive
revealjs-the-html-presentation-framework-github,reveal.js: The HTML Presentation Framework - GitHub,"Framework open-source che consente di creare presentazioni web completamente funzionali utilizzando solo HTML. Offre funzionalità avanzate come slide annidate, supporto Markdown e animazioni automatiche.","Presentazioni, HTML, Framework, Sviluppo Web, Open Source",https://revealjs.com/
the-minimal-company,The Minimal Company,"Azienda che produce il ""Minimal Phone"", uno smartphone con display E-Paper e tastiera QWERTY, focalizzato sull'eliminazione delle distrazioni. L'obiettivo è aiutare gli utenti a vivere in modo più intenzionale e meno dipendente dallo scrolling.","Minimalismo, Tecnologia, Smartphone, E-Paper, Produttività, Digital Detox",
ggml-orgllamavscode-github,ggml-org/llama.vscode - GitHub,"Estensione per Visual Studio Code che integra modelli linguistici LLama (e affini) per la generazione di codice, assistenza contestuale o altre funzionalità di AI all'interno dell'editor. Sfrutta il progetto ggml-org.","VSCode, LLM, AI, Coding, Estensione, ggml",https://github.com/ggml-org/llama.vscode?s=35
european-citizens-initiative-statements-of-support-collected-online,European Citizens' Initiative - Statements of support collected online,Pagina per il sistema di raccolta elettronica delle dichiarazioni di sostegno per un'Iniziativa dei Cittadini Europei (ICE). La petizione in questione riguarda probabilmente un tema politico o sociale europeo.,"Unione Europea, ICE, Petizione, Politica, Partecipazione Civica",https://eci.ec.europa.eu/045/public/#/screen/home
lo-studio-shock-sui-captcha-il-lato-oscuro-della-sicurezza-toms-hardware,Lo studio shock sui CAPTCHA: il lato oscuro della sicurezza - Tom's Hardware,"Articolo di Tom's Hardware che riporta i risultati di uno studio sull'inefficacia, sui problemi di sicurezza e sul costo in termini di tempo e inquinamento dei sistemi CAPTCHA. Lo studio solleva questioni etiche sull'uso dei dati raccolti.","CAPTCHA, Sicurezza, Privacy, Usabilità, Wired Italia",https://www.tomshw.it/hardware/lo-studio-shock-sui-captcha-il-lato-oscuro-della-sicurezza-2025-02-09
traccia-di-un-incontro-su-pna-digital-probabilmente-un-documento-di-lavoro-o-ver,(Contenuto non recuperabile),"Traccia di un incontro su PNA Digital, probabilmente un documento di lavoro o verbale ospitato su Notion. Il titolo indica un incontro tenutosi il 14 febbraio 2026.","Notion, PNA Digital, Documentazione, Incontro, Lavoro",https://5adesign.notion.site/PNA-Digital-traccia-dell-incontro-del-14-02-2026-19a98ea4938080ca85cfc29039bfb1e1?pvs=4
